Initial VO,C_Data,True,Reading,Vout,VO,Vtemp lower(Cal), Vtemp upper(Cal),Vtemp lower(Conf), Vtemp upper(Conf)
="0.007",="-8.7",="20.00",="180.1",="-3",="0.006",="20",="32",="20",="32"
="0.007",="-180.0",="40.00",="-1329.2",="-4",="0.006"
="0.007",="-2056.7",="60.00",="693.5",="-4",="0.006"
="0.007",="942.8",="80.00",="-984.9",="-4",="0.006"
="0.007",="213.1",="100.00",="-514.4",="-6",="0.006"
="0.007",="53.9",="120.00",="291.1",="-6",="0.006"
="0.007",="-1447.8",="140.00",="463.0",="-6",="0.006"
="0.008",="267.0",="160.00",="153.5",="-5",="0.005"
="0.007",="1217.7",="180.00",="-1507.2",="-7",="0.005"
="0.007",="2845.2",="200.00",="574.2",="-7",="0.005"

FB90,FB91,FB92,FB93,FB94,FB95,FB96,FB97,FB98,FB99,FB9A,FB9B,FB9C,FB9D,FB9E,FB9F,FBA0,FBA1,FBA2,FBA3,FB41,FB42
="14",="90",="8F",="49",="28",="52",="47",="C2",="66",="78",="66",="84",="85",="89",="66",="09",="70",="D0",="C2",="55",="EF",="3F",
